aqi,co,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
129,1.9,99,81,129,98,轻度污染,93,29,2014-01-01
159,1.8,122,77,148,121,中度污染,111,38,2014-01-02
180,1.9,110,93,172,136,中度污染,115,31,2014-01-03
170,1.6,75,113,159,129,中度污染,142,40,2014-01-04
149,1.4,89,113,143,114,轻度污染,90,39,2014-01-05
207,1.7,109,117,190,157,重度污染,133,42,2014-01-06
133,1.4,92,54,123,101,轻度污染,109,29,2014-01-07
123,1.9,69,25,118,93,轻度污染,149,16,2014-01-08
66,1.5,41,63,65,48,良,65,12,2014-01-09
90,1.4,55,49,87,67,良,66,17,2014-01-10
132,1.6,80,69,130,100,轻度污染,115,24,2014-01-11
121,1.8,63,46,123,92,轻度污染,111,17,2014-01-12
59,1.2,31,46,68,37,良,33,10,2014-01-13
61,1,39,82,71,41,良,34,11,2014-01-14
89,1,49,92,86,66,良,50,15,2014-01-15
131,1.4,95,84,135,100,轻度污染,79,20,2014-01-16
142,1.5,99,90,150,109,轻度污染,71,22,2014-01-17
92,0.9,50,114,97,69,良,33,19,2014-01-18
135,1.1,82,133,136,103,轻度污染,71,26,2014-01-19
137,1.4,92,118,142,105,轻度污染,111,22,2014-01-20
109,1,40,101,116,82,轻度污染,137,27,2014-01-21
69,0.9,52,97,76,50,良,18,13,2014-01-22
120,1.4,101,103,125,91,轻度污染,100,29,2014-01-23
89,1,82,82,94,66,良,59,20,2014-01-24
95,1.5,88,48,86,71,良,72,13,2014-01-25
103,1.4,65,90,89,77,轻度污染,114,14,2014-01-26
123,1.2,56,123,111,93,轻度污染,129,16,2014-01-27
111,1.1,67,114,97,83,轻度污染,110,17,2014-01-28
133,1.3,75,145,116,101,轻度污染,133,15,2014-01-29
111,1.2,66,142,93,84,轻度污染,66,17,2014-01-30
155,1.1,51,130,139,118,中度污染,51,24,2014-01-31
70,0.8,30,97,57,51,良,44,12,2014-02-01
65,0.9,38,102,53,47,良,28,11,2014-02-02
68,1.1,42,103,63,50,良,88,8,2014-02-03
71,1,33,101,64,52,良,134,8,2014-02-04
50,1,25,91,44,35,优,97,10,2014-02-05
41,1,29,70,33,28,优,73,11,2014-02-06
32,1.2,24,24,30,23,优,32,4,2014-02-07
32,1.1,21,12,29,22,优,18,4,2014-02-08
12,1,21,15,12,9,优,1,3,2014-02-09
41,1,17,58,35,29,优,49,7,2014-02-10
59,0.7,21,67,50,43,良,46,11,2014-02-11
71,0.7,28,56,61,51,良,55,7,2014-02-12
46,0.7,28,36,37,32,优,33,6,2014-02-13
65,0.7,27,69,55,47,良,30,10,2014-02-14
70,0.7,38,50,63,51,良,38,9,2014-02-15
89,1.2,57,20,85,66,良,88,15,2014-02-16
145,1.9,84,20,166,111,轻度污染,154,24,2014-02-17
59,1.4,43,14,63,43,良,75,11,2014-02-18
22,1,33,30,22,15,优,11,8,2014-02-19
38,0.6,36,61,38,26,优,12,10,2014-02-20
85,0.8,83,66,98,63,良,43,25,2014-02-21
94,0.9,69,44,86,70,良,53,19,2014-02-22
87,0.9,65,123,82,65,良,44,15,2014-02-23
76,0.8,79,82,81,56,良,38,21,2014-02-24
66,0.9,75,52,77,48,良,59,20,2014-02-25
84,1.3,66,55,86,62,良,73,16,2014-02-26
62,1,56,106,64,45,良,54,15,2014-02-27
62,0.9,67,41,65,45,良,87,20,2014-02-28
63,0.9,62,50,65,45,良,92,22,2014-03-01
41,1.4,42,30,41,28,优,20,30,2014-03-02
64,1.4,48,28,62,47,良,59,13,2014-03-03
72,1.3,54,28,73,52,良,88,14,2014-03-04
41,1.1,44,44,41,24,优,12,13,2014-03-05
85,1.2,65,40,87,63,良,136,22,2014-03-06
39,1,39,22,39,27,优,22,7,2014-03-07
55,1,43,21,55,39,良,55,15,2014-03-08
28,0.8,36,33,28,20,优,11,6,2014-03-09
49,0.9,42,30,45,35,优,18,9,2014-03-10
62,1.1,52,28,64,45,良,22,13,2014-03-11
172,2.6,93,27,183,130,中度污染,185,18,2014-03-12
61,1.2,47,70,68,44,良,53,10,2014-03-13
75,0.9,44,81,77,55,良,50,11,2014-03-14
87,0.9,59,52,88,65,良,56,20,2014-03-15
120,1.2,71,34,134,91,轻度污染,127,24,2014-03-16
161,1.7,89,57,184,122,中度污染,153,28,2014-03-17
99,1.4,71,65,110,74,良,70,20,2014-03-18
90,1.2,68,94,101,67,良,87,19,2014-03-19
102,1.4,63,60,117,77,轻度污染,173,20,2014-03-20
68,0.7,29,77,67,49,良,76,11,2014-03-21
74,0.9,50,73,75,54,良,59,14,2014-03-22
108,1.1,80,157,119,81,轻度污染,124,31,2014-03-23
116,1,65,178,88,61,轻度污染,131,26,2014-03-24
83,1,78,140,87,59,良,56,27,2014-03-25
96,1,71,155,93,67,良,70,29,2014-03-26
68,0.9,60,96,71,49,良,33,22,2014-03-27
52,0.8,48,54,52,37,良,21,15,2014-03-28
61,0.9,58,34,58,44,良,45,14,2014-03-29
53,1.1,55,30,52,37,良,21,11,2014-03-30
42,1,55,48,40,29,优,15,8,2014-03-31
55,1.3,53,27,54,39,良,29,9,2014-04-01
